"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"America/New_York","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Nipigon","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Nome","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Noronha","FNT","Fernando de Noronha Time","","","-02:00:00","+00:00:00","","","","+00:00:00"
"America/North_Dakota/Beulah","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/North_Dakota/Center","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/North_Dakota/New_Salem","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Nuuk","WGT","West Greenland Time","WGST","West Greenland Summer Time","-03:00:00","+01:00:00","4;0;3","22:00:00","4;0;10","23:00:00"
"America/Ojinaga","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Panama","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Pangnirtung","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Paramaribo","SRT","Suriname Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Phoenix","MST","Mountain Standard Time","","","-07:00:00","+00:00:00","","","","+00:00:00"
"America/Port-au-Prince","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Port_of_Spain","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Porto_Velho","AMT","Amazon Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Puerto_Rico","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Punta_Arenas","CLT","Chile Standard Time","CLST","Chile Summer Time","-03:00:00","+01:00:00","2;0;8","24:00:00","2;0;5","24:00:00"
"America/Rainy_River","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Rankin_Inlet","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Recife","BRT","Brasilia Time","BRST","Brasilia Summer Time","-03:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Regina","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Resolute","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Rio_Branco","ACT","Acre Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Rosario","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Santarem","BRT","Brasilia Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Santiago","CLT","Chile Standard Time","CLST","Chile Summer Time","-04:00:00","+01:00:00","2;0;10","+00:00:00","2;0;3","+00:00:00"
"America/Santo_Domingo","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Sao_Paulo","BRT","Brasilia Time","BRST","Brasilia Summer Time","-03:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Scoresbysund","EGT","Eastern Greenland Time","EGST","Eastern Greenland Summer Time","-01:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+01:00:00"
"America/Shiprock","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Sitka","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/St_Barthelemy","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
